 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
443,30168060,10,8,842,3682,533,0,84.2,165.8913969,1669,0,460.25,698.2054037,149.9599245,0.596657525,1774591.765,7274110.223,30000000,3,165827,18425.22222,17624.59048,42244,3,30100000,4305601.0,11300000.0,30000000,10,0,0,0,0,332,264,0.331476403,0.265181122,0,1669,238.1052632,491.5092284,241581.3216,0,0,0,1,0,0,0,0,0,251.3333333,84.2,460.25,332,0,0,0,0,0,0,10,842,8,3682,65535,122,5,32,165827.0,0.0,165827,165827,30000000.0,0.0,30000000,30000000,BENIGN
443,48339188,116,163,5010,236459,1141,0,43.18965517,150.8752386,2836,0,1450.668712,474.5879572,4995.305258,5.771714659,173881.9712,2228970.335,36600000,1,48300000,420340.7652,3459424.003,36600000,1,11700000,71979.1358,510767.3008,5382119,1,0,0,0,0,3724,5224,2.399709321,3.372005339,0,2836,862.3892857,789.9580828,624033.7726,0,0,0,1,0,0,0,0,1,865.4802867,43.18965517,1450.668712,3724,0,0,0,0,0,0,116,5010,163,236459,65535,429,14,32,3176980.5,4413741.436,6297967,55994,21000000.0,22100000.0,36600000,5343166,BENIGN
443,48202723,20,20,816,25338,341,0,40.8,94.87809353,2896,0,1266.9,921.5706787,542.5834553,0.829828639,1235967.256,7698144.324,48100000,1,48200000,2536985.421,11000000.0,48100000,1,97250,5118.421053,11895.20361,37230,1,0,0,0,0,652,648,0.414914319,0.414914319,0,2896,637.902439,891.0372833,793947.4402,0,0,0,1,0,0,0,0,1,653.85,40.8,1266.9,652,0,0,0,0,0,0,20,816,20,25338,65535,972,6,32,124540.0,0.0,124540,124540,48100000.0,0.0,48100000,48100000,BENIGN
53,47907,1,1,43,59,43,43,43.0,0.0,59,59,59.0,0.0,2129.12518,41.74755255,47907.0,0.0,47907,47907,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,20.87377627,20.87377627,43,59,48.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,72.5,43.0,59.0,32,0,0,0,0,0,0,1,43,1,59,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,59589,1,1,43,59,43,43,43.0,0.0,59,59,59.0,0.0,1711.725318,33.56324154,59589.0,0.0,59589,59589,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,44,16.78162077,16.78162077,43,59,48.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,72.5,43.0,59.0,32,0,0,0,0,0,0,1,43,1,59,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,28958185,2,2,93,270,49,44,46.5,3.535533906,136,134,135.0,1.414213562,12.53531601,0.138130204,9652728.333,16600000.0,28800000,23268,28900000,28900000.0,0.0,28900000,28900000,28800000,28800000.0,0.0,28800000,28800000,0,0,0,0,52,40,0.069065102,0.069065102,44,136,81.4,48.97754588,2398.8,0,0,0,0,0,0,0,0,1,101.75,46.5,135.0,52,0,0,0,0,0,0,2,93,2,270,-1,-1,1,20,138381.0,0.0,138381,138381,28800000.0,0.0,28800000,28800000,BENIGN
53,59915,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,2670.449804,66.7612451,19971.66667,34586.74523,59909,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,88,33.38062255,33.38062255,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,64,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
52137,38,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,315789.4737,52631.57895,38.0,0.0,38,38,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,26315.78947,26315.78947,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,296,253,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,155,2,2,86,204,43,43,43.0,0.0,102,102,102.0,0.0,1870967.742,25806.45161,51.66666667,86.03100216,151,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,40,40,12903.22581,12903.22581,43,102,66.6,32.31563089,1044.3,0,0,0,0,0,0,0,0,1,83.25,43.0,102.0,40,0,0,0,0,0,0,2,86,2,204,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,48226,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,3317.712437,82.94281093,16075.33333,27837.23191,48219,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,64,41.47140547,41.47140547,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,64,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
